mode,BayesianRidge,RandomForestRegressor,AdaBoostRegressor
RNN_TANH,0.4791937502724942,0.4316308962918233,0.3569862863133193
RNN_RELU,0.3607506672954528,0.6150430655596776,0.5346964347568811
GRU,0.6722472455491435,0.8763523269670737,0.7831301805721593
LSTM,0.3720618048404193,0.5793334582366805,0.595148830175794
