mode,graph,graph_nr,layers,nodes,edges,source_nodes,sink_nodes,diameter,density,average_shortest_path_length,eccentricity_mean,eccentricity_var,eccentricity_std,degree_mean,degree_var,degree_std,closeness_mean,closeness_var,closeness_std,nodes_betweenness_mean,nodes_betweenness_var,nodes_betweenness_std,edge_betweenness_mean,edge_betweenness_var,edge_betweenness_std,test_acc,test_loss,time
GRU,barabasi_albert,10,9,29,54,2,1,5,0.0665024630541872,2.4753694581280787,3.8620689655172415,0.2660098522167488,0.5157614295551275,0.1330049261083744,0.006550341811601487,0.08093418197277023,0.41194890477288526,0.0037732488922583053,0.06142677667156486,0.054643313264002916,0.004638983339723304,0.06811008251149975,0.04584017515051998,0.0002311136973921517,0.015202424063028623,0.9232,9.22228156030178,3130.830775952898
GRU,barabasi_albert,11,8,32,87,3,1,4,0.08770161290322581,2.090725806451613,3.03125,0.09576612903225806,0.30946102990886926,0.1754032258064516,0.010267362626296532,0.10132799527424063,0.4850842457806092,0.003777177415317988,0.06145874563736221,0.03635752688172043,0.002748655149317444,0.052427618192298645,0.024031331108639226,7.253140998148039e-05,0.008516537440854727,0.98784,2.1645327201113105,3108.9823309001513
GRU,barabasi_albert,12,8,27,50,2,2,4,0.07122507122507123,2.3874643874643873,3.6666666666666665,0.23076923076923078,0.4803844614152614,0.14245014245014245,0.0077167517995920375,0.08784504425175069,0.42609951428175274,0.0034766419462370912,0.05896305577424809,0.0554985754985755,0.0049864439555622996,0.07061475734973745,0.04774928774928775,0.00025095940411591844,0.015841698271205597,0.92224,10.484005749225616,2650.108152289875
GRU,barabasi_albert,13,12,47,172,4,2,3,0.07955596669750231,2.0638297872340425,2.893617021276596,0.0971322849213691,0.3116605283339055,0.15911193339500462,0.009864929378209982,0.09932235084919196,0.4909436238589527,0.0036016279711802374,0.060013564893115934,0.02364066193853428,0.0013740345287264685,0.03706797173742406,0.011999010390895596,2.1934972360145042e-05,0.004683478660156897,0.94576,6.7480509877204895,6024.039420918096
GRU,barabasi_albert,14,6,15,14,1,1,7,0.06666666666666667,3.2,5.533333333333333,0.980952380952381,0.990430401872025,0.13333333333333333,0.007191448007774537,0.08480240567209481,0.32802281262714644,0.005882602618857929,0.0766981265668069,0.16923076923076924,0.056752980143874976,0.23822883986594692,0.2285714285714286,0.017080062794348507,0.1306907142621407,0.89152,13.459335520863533,883.5154525199905
GRU,barabasi_albert,15,11,42,152,4,5,3,0.08826945412311266,2.013937282229965,2.9285714285714284,0.06794425087108014,0.26066118021500656,0.17653890824622534,0.008729110831517936,0.09342971064665638,0.5023865994842913,0.003233433633189278,0.056863288976186366,0.025348432055749128,0.0011935863177768298,0.03454831859550953,0.013249587383091876,1.8690437037839467e-05,0.004323243809668784,0.9968,0.6687977942638099,5297.447261219844
GRU,barabasi_albert,16,6,22,40,2,1,4,0.08658008658008658,2.2337662337662336,3.4545454545454546,0.2597402597402597,0.5096471914376255,0.17316017316017315,0.012427481815236917,0.11147861595497549,0.45652448675234264,0.004679894630403284,0.06840975537453181,0.061688311688311695,0.008123627658927768,0.09013116918651265,0.05584415584415584,0.0003333559177715022,0.018258037073341213,0.94512,7.4563048630952835,1575.5834556440823
GRU,barabasi_albert,17,8,37,102,3,1,4,0.07657657657657657,2.0825825825825826,3,0.1111111111111111,0.3333333333333333,0.15315315315315314,0.015458745782819855,0.12433320466721613,0.48888561558818566,0.005083805676404749,0.0713008111903697,0.030930930930930932,0.004431710064393638,0.06657109030497876,0.020417476299829238,8.614115774103103e-05,0.009281226090395117,0.95344,7.621278610080481,2680.256326102186
GRU,barabasi_albert,18,8,18,17,1,1,8,0.05555555555555555,3.6862745098039214,6.555555555555555,1.2026143790849673,1.0966377611066325,0.1111111111111111,0.00606101725580659,0.07785253532035158,0.2846790165515656,0.004171070332477572,0.06458382407753177,0.1678921568627451,0.05194286841033992,0.22790978129588893,0.21683967704728951,0.019918809507655424,0.14113401258256433,0.8648,17.08544099330902,1130.7113447710872
GRU,barabasi_albert,19,9,30,81,3,3,4,0.09310344827586207,2.0689655172413794,3.1,0.16206896551724137,0.40257789993644877,0.18620689655172415,0.012595842387961787,0.11223120059930655,0.4917067241395582,0.004965387663748641,0.07046550690762567,0.038177339901477834,0.005900547297456303,0.07681501999906205,0.025542784163473817,0.00017735844226980925,0.013317598967899929,0.9432,6.715126164257526,3258.2055116295815
