mode,graph,graph_nr,layers,nodes,edges,source_nodes,sink_nodes,diameter,density,average_shortest_path_length,eccentricity_mean,eccentricity_var,eccentricity_std,degree_mean,degree_var,degree_std,closeness_mean,closeness_var,closeness_std,nodes_betweenness_mean,nodes_betweenness_var,nodes_betweenness_std,edge_betweenness_mean,edge_betweenness_var,edge_betweenness_std,test_acc,test_loss,time
LSTM,barabasi_albert,0,8,26,48,2,1,4,0.07384615384615385,2.2984615384615386,3.5384615384615383,0.25846153846153846,0.508391127441794,0.1476923076923077,0.00905846153846154,0.0951759504205844,0.4415935390047203,0.003312684040798978,0.05755592098819181,0.0541025641025641,0.00630865647115573,0.07942705125557495,0.04788461538461539,0.00029995685028059744,0.017319262405789612,0.89808,12.533700168132782,2417.9356644041836
LSTM,barabasi_albert,1,4,18,17,1,1,5,0.05555555555555555,2.8366013071895426,4.333333333333333,0.47058823529411764,0.6859943405700354,0.1111111111111111,0.009724766492525499,0.09861423067958042,0.3675146010621913,0.0070035057115297875,0.08368695066454379,0.1147875816993464,0.05038379610783183,0.22446335136906387,0.16685890042291426,0.010205036775699644,0.10101998206146962,0.89136,13.509752467274666,595.5144998528995
LSTM,barabasi_albert,2,5,13,12,1,1,6,0.07692307692307693,2.923076923076923,5,1,1.0,0.15384615384615383,0.0125534188034188,0.11204204033941367,0.3575450593665212,0.006378438148571619,0.07986512473271183,0.17482517482517484,0.06839667066939796,0.2615275715281239,0.24358974358974358,0.020979020979020973,0.14484136487558025,0.82512,19.623745441436768,663.9572555287741
LSTM,barabasi_albert,3,4,10,9,1,3,6,0.1,2.911111111111111,4.9,0.9888888888888889,0.9944289260117533,0.19999999999999998,0.01316872427983539,0.11475506210984938,0.3580788334472545,0.006087237828017528,0.07802075254711101,0.23888888888888887,0.0770233196159122,0.2775307543605072,0.3234567901234568,0.02445816186556927,0.15639105430161046,0.85984,15.323775634169579,584.5044676316902
LSTM,barabasi_albert,4,9,42,152,4,5,3,0.08826945412311266,2.0209059233449476,2.9285714285714284,0.06794425087108014,0.26066118021500656,0.1765389082462253,0.012675658327926867,0.11258622619098159,0.5021965586007041,0.004111915495189883,0.06412421925598691,0.025522648083623693,0.0016556018902858603,0.04068908809847992,0.013295433706216761,2.861795871277177e-05,0.005349575563796793,0.988,2.888839636929333,3640.168545291759
LSTM,barabasi_albert,5,5,21,38,2,1,4,0.09047619047619047,2.123809523809524,3.1904761904761907,0.2619047619047619,0.511766315719159,0.18095238095238098,0.01761904761904762,0.13273676061682244,0.4804816819067119,0.005348625075274098,0.07313429479576664,0.059147869674185456,0.009662732873851294,0.09829920077931098,0.05588972431077695,0.0003117742429145938,0.017657130087151585,0.98448,3.470082772895694,1252.9934177170508
LSTM,barabasi_albert,6,6,22,40,2,2,3,0.08658008658008658,2.0779220779220777,2.8636363636363638,0.12337662337662338,0.35125008665710444,0.17316017316017315,0.021497776599817407,0.1466212010584329,0.49277556291739644,0.007323805755081264,0.08557923670541391,0.0538961038961039,0.015188105981530017,0.1232400340049045,0.051948051948051945,0.0007001384057661112,0.02646012860448927,0.90944,11.610720321536064,1609.0927539020777
LSTM,barabasi_albert,7,3,12,11,1,5,4,0.08333333333333333,2.484848484848485,3.3333333333333335,0.42424242424242425,0.6513389472789296,0.16666666666666666,0.017781116954670672,0.1333458546587432,0.4222285067873303,0.011079251956177528,0.10525802561409524,0.1484848484848485,0.06796894565489607,0.2607085454197773,0.22589531680440772,0.007596627431338175,0.08715863371656404,0.93792,9.214571975171566,476.9931816039607
LSTM,barabasi_albert,8,12,42,152,4,1,3,0.08826945412311266,2.034843205574913,2.9523809523809526,0.04645760743321719,0.21554026870452117,0.1765389082462253,0.009773785168802654,0.09886245581009331,0.4974484023346188,0.0033762223236661034,0.05810526932788543,0.025871080139372823,0.0013633079258095083,0.036922999956795335,0.01338712635246653,2.291315164220351e-05,0.004786768392371152,0.9328,9.326498504728079,5295.290806080215
LSTM,barabasi_albert,9,11,40,144,4,2,3,0.09230769230769231,2.0012820512820513,2.925,0.07115384615384615,0.2667467828369185,0.1846153846153846,0.009548374045415465,0.09771578196696512,0.5055993720238645,0.003346729049835683,0.05785092090741238,0.02634952766531714,0.001407829480012635,0.03752105382332212,0.013897792022792023,2.7627421403965496e-05,0.005256179354242537,0.99328,1.2063332735560834,4518.128720222041
