mode,SVM,BayesianRidge,RandomForestRegressor,AdaBoostRegressor
RNN_TANH,0.4447819441645292,0.4791937502724942,0.38966345042988504,0.45019757736745214
RNN_RELU,0.3449688509543991,0.3607506672954528,0.5439982279747824,0.39808680060233004
GRU,-1.239231280355766,0.6722472455491435,0.843681845728382,0.8001398482228617
LSTM,0.36918850638269163,0.3720618048404193,0.5712532490281286,0.5711360546257779
