mode,prune,epoch,train_loss,train_acc,test_loss,test_acc,time
gru,0,1,100.67963820311707,0.9338133333333334,1.2712331846123561,0.9992,48.590343752999985
gru,0,2,4.674380931130145,0.99824,0.24508536123903468,0.99952,48.44838444300001
gru,0,3,0.6183863516926067,0.9997866666666667,0.05090682134323288,0.99984,47.62235799199999
gru,0,4,0.04765533109457465,1.0,0.012194044888019562,1.0,47.391954726999984
gru,0,5,0.026135026910196757,1.0,0.00715272426532465,1.0,47.35157643299999
gru,0,6,0.01679823845552164,1.0,0.004718671738373814,1.0,47.15515980099997
gru,0,7,0.011093912025899044,1.0,0.00319764167034009,1.0,47.51455501800001
gru,0,8,0.007763300836813869,1.0,0.002263239026433439,1.0,47.64257116800002
gru,0,9,0.005493042369380419,1.0,0.0015951350333125447,1.0,47.319350946999975
gru,0,10,0.004037488003632461,1.0,0.0011649951338768005,1.0,47.38627966900003
gru,0,11,0.002881259719742957,1.0,0.0008721157910258626,1.0,47.16167022299999
gru,0,12,0.002075679103427319,1.0,0.001251420378594048,1.0,47.26255484400008
gru,0,13,0.0015260020891219028,1.0,0.0004454731940768397,1.0,47.293455481000024
gru,0,14,0.001219036678435259,1.0,0.0006376162170909083,1.0,47.266388002999975
gru,0,15,0.0008525605003342207,1.0,0.0002471148967515546,1.0,47.05418517299995
gru,0,16,0.000586971640586853,1.0,0.00019587576389312744,1.0,46.49825988400005
gru,0,17,0.0004391968250274658,1.0,0.00010365545750801175,1.0,46.99656065900001
gru,0,18,0.0002851039171218872,1.0,9.711086750030518e-05,1.0,47.02452316199992
gru,0,19,0.0002843141555786133,1.0,9.521842002868652e-05,1.0,46.76910352999994
gru,0,20,0.00021587212880547213,1.0,2.4393200874328613e-05,1.0,47.02382040700013
gru,0,21,1.3456741969619657e-05,1.0,1.519918441772461e-06,1.0,46.64990854100006
gru,0,22,4.038214683532715e-06,1.0,3.7401914596557617e-06,1.0,47.17189967500008
gru,0,23,6.511807441711426e-06,1.0,2.4840235710144043e-05,1.0,46.76311034499986
gru,0,24,7.152557373046875e-07,1.0,1.9818544387817383e-06,1.0,46.87989047699989
gru,0,25,8.046627044677734e-07,1.0,2.592802047729492e-06,1.0,46.177879247999954
gru,0,26,4.172325134277344e-07,1.0,1.1026859283447266e-06,1.0,46.59059094899999
gru,0,27,1.7881393432617188e-07,1.0,6.407499313354492e-07,1.0,46.50253389900013
gru,0,28,5.960464477539063e-08,1.0,2.9802322387695312e-08,1.0,46.58644418299991
gru,0,29,13.664062293770257,0.9965333333333334,1.8664358671521768,0.99776,46.62703918600005
gru,0,30,1.5068649870663648,0.9996266666666667,0.03000713884830475,1.0,46.02206985299995
gru,0,31,0.053451343377673766,1.0,0.011128331720101414,1.0,46.22641163399999
gru,0,32,0.024327268700290006,1.0,0.006062711774575291,1.0,46.11799302099985
gru,0,33,0.01424152304753079,1.0,0.0037287726991053205,1.0,46.603420973000084
gru,0,34,0.009053236743056914,1.0,0.002472379803293734,1.0,47.69656236100013
gru,0,35,0.006105516850766435,1.0,0.001700003444966569,1.0,47.99643485599995
gru,0,36,0.004206175605304452,1.0,0.0011774331333072041,1.0,48.38328398099998
gru,0,37,0.002876978119275009,1.0,0.000811283290204301,1.0,48.87177586499979
gru,0,38,0.0020163287720151857,1.0,0.0005822420121148753,1.0,48.35861532900003
gru,0,39,0.0014601359764583322,1.0,0.00042939782133544213,1.0,46.94439574299986
gru,0,40,0.0011146917938731349,1.0,0.00033732056613189343,1.0,46.69290809200038
gru,0,41,0.0007936249177191712,1.0,0.000244829058601681,1.0,46.97749929800011
gru,0,42,0.0006075789531223563,1.0,0.00017689466471892956,1.0,46.558697889000086
