mode,prune,epoch,train_loss,train_acc,test_loss,test_acc,time
lstm_prune,50,9,0.0,1.0,0.0,1.0,45.659864073999415
lstm_prune,50,10,0.0,1.0,0.0,1.0,47.07631062699966
lstm_prune,60,0,0.0,0.0,1.2390315532684326e-05,1.0,4.308826069999668
lstm_prune,60,1,1.1973834251984954,0.9998933333333333,2.9802322387695312e-08,1.0,45.507003235999946
lstm_prune,60,2,1.1920928955078125e-07,1.0,7.450580596923828e-08,1.0,45.345465811000395
lstm_prune,60,3,5.960464477539063e-08,1.0,5.960464477539063e-08,1.0,45.36188675500034
lstm_prune,60,4,1.6391277313232422e-07,1.0,1.4901161193847656e-08,1.0,46.25150527799997
lstm_prune,60,5,0.0,1.0,2.9802322387695312e-08,1.0,45.855175964999944
lstm_prune,60,6,2.9802322387695312e-08,1.0,7.450580596923828e-08,1.0,45.89852471999984
lstm_prune,60,7,2.5331974029541016e-07,1.0,1.4901161193847656e-08,1.0,45.397302110000055
lstm_prune,60,8,4.470348358154297e-08,1.0,5.960464477539063e-08,1.0,45.42716261100031
lstm_prune,60,9,0.0,1.0,0.0,1.0,45.361366800000724
lstm_prune,60,10,0.0,1.0,0.0,1.0,45.471902864000185
lstm_prune,70,0,0.0,0.0,524.2714702486992,0.80288,4.17767552100031
lstm_prune,70,1,7.679024765267968,0.99904,0.0001785397529374677,1.0,45.56508342000052
lstm_prune,70,2,0.0004172280430907449,1.0,0.00014150142669677734,1.0,45.23875996300012
lstm_prune,70,3,0.0004003196954727173,1.0,0.00012427568435668945,1.0,44.63241896300042
lstm_prune,70,4,0.00039594819151034244,1.0,0.0001300424337387085,1.0,44.34021015599956
lstm_prune,70,5,0.0003130296865947457,1.0,0.00010848045349121094,1.0,44.4618514900003
lstm_prune,70,6,0.00030332605044236516,1.0,0.00010199099779129028,1.0,44.46101156699933
lstm_prune,70,7,0.0002300545573348245,1.0,7.067918778602689e-05,1.0,44.857038218000525
lstm_prune,70,8,0.0001728946963908129,1.0,5.123019218444824e-05,1.0,45.15225395300058
lstm_prune,70,9,0.0001619925101579156,1.0,5.028247832683519e-05,1.0,44.65220645699992
lstm_prune,70,10,0.00011310080687287893,1.0,1.5163421636543717e-05,1.0,44.80157104599948
lstm_prune,80,0,0.0,0.0,751.9362129569054,0.66784,4.153859576000286
lstm_prune,80,1,11.748720182291436,0.9978133333333333,0.010761268436908722,1.0,44.70685495999987
lstm_prune,80,2,0.01875532468147867,1.0,0.004041961579787312,1.0,44.869606392000605
lstm_prune,80,3,0.006764044364444999,1.0,0.0019365668294994975,1.0,44.82462837300045
lstm_prune,80,4,0.004941737403441948,1.0,0.001192615926356666,1.0,45.14230995899925
lstm_prune,80,5,0.0025936459501281206,1.0,0.0009514540433883667,1.0,44.97919390200059
lstm_prune,80,6,0.0019677395621329197,1.0,0.0006333097815058863,1.0,44.54656627299937
lstm_prune,80,7,0.0035987814267173235,1.0,0.0003638058900605756,1.0,45.14469746800023
lstm_prune,80,8,0.0019502493242953278,1.0,0.0003191486000559962,1.0,44.54745085400009
lstm_prune,80,9,0.0006845707694651537,1.0,0.00020834207532516302,1.0,44.74185190800017
lstm_prune,80,10,0.0005059162775751247,1.0,0.00018821805713287176,1.0,44.954961331999584
lstm_prune,90,0,0.0,0.0,619.8333150148392,0.49488,4.1989966430001004
lstm_prune,90,1,55.81935205421178,0.9705066666666666,0.21254285908071324,0.99968,45.14878229699934
lstm_prune,90,2,0.33112490201892797,0.9999466666666667,0.07211794555769302,0.99984,44.96191442899999
lstm_prune,90,3,0.43419647446717136,0.99984,0.024965497475932352,1.0,44.741124374999345
lstm_prune,90,4,0.5510018830464105,0.99984,0.013295346499944571,1.0,45.140524968000136
lstm_prune,90,5,0.04964952766931674,1.0,0.009349774569272995,1.0,45.13624711800003
lstm_prune,90,6,0.025578728565960773,1.0,0.005570888519287109,1.0,45.279933636999885
lstm_prune,90,7,0.011714058121469861,1.0,0.0031210437409754377,1.0,45.412289891
lstm_prune,90,8,0.028233904266926402,1.0,0.003896541147696553,1.0,45.637379624999994
lstm_prune,90,9,1.663059311300458,0.99952,0.0459109630464809,1.0,45.19006124600037
lstm_prune,90,10,0.05292044977431942,1.0,0.009740147041156888,1.0,45.50836839499971
lstm_prune,100,0,0.0,0.0,150.1926065683365,0.50576,4.320829539999977
lstm_prune,100,1,408.0088204741478,0.4978666666666667,135.93257355690002,0.49424,45.546336960999724
lstm_prune,100,2,406.63380777835846,0.49136,135.86719012260437,0.50576,45.561271743999896
lstm_prune,100,3,406.47360038757324,0.5034133333333334,136.00769674777985,0.50576,45.74628193299941
lstm_prune,100,4,406.51528018713,0.5029866666666667,135.84638625383377,0.50576,45.549195876999875
lstm_prune,100,5,406.53601771593094,0.49338666666666664,135.92082917690277,0.49424,45.842113188999974
lstm_prune,100,6,406.5820258259773,0.49722666666666665,135.84231060743332,0.50576,45.586326925999856
lstm_prune,100,7,406.48252153396606,0.49936,135.92219352722168,0.49424,45.657909527999436
lstm_prune,100,8,406.67302972078323,0.49509333333333333,135.84395045042038,0.50576,45.62962744499964
lstm_prune,100,9,406.468206346035,0.4954133333333333,135.86767715215683,0.49424,45.345104700000775
lstm_prune,100,10,406.55325841903687,0.4970133333333333,135.89874625205994,0.50576,45.48853135799982
lstm_prune_i2h,10,0,0.0,0.0,6.258487701416016e-07,1.0,4.225558801000261
lstm_prune_i2h,10,1,2.2351741790771484e-07,1.0,0.0,1.0,45.08675358900018
lstm_prune_i2h,10,2,0.0,1.0,0.0,1.0,45.53691497
lstm_prune_i2h,10,3,0.0,1.0,0.0,1.0,45.22376194000026
lstm_prune_i2h,10,4,6.073985553965031,0.9987733333333333,0.02465840541117359,1.0,45.450247329000376
lstm_prune_i2h,10,5,0.02722015753352025,1.0,0.004766258596646367,1.0,45.81693864999943
lstm_prune_i2h,10,6,0.009429324666598404,1.0,0.0024443410338790272,1.0,45.603516921000846
lstm_prune_i2h,10,7,0.004897650579550827,1.0,0.001485364139170997,1.0,46.11125268200067
lstm_prune_i2h,10,8,0.0029932630559414974,1.0,0.0008855625987962412,1.0,45.89823673399951
lstm_prune_i2h,10,9,0.002129123359964069,1.0,0.0006389893592313456,1.0,45.86064974300007
lstm_prune_i2h,10,10,0.0013729646801721174,1.0,0.0004222050308726466,1.0,45.44729114399979
lstm_prune_i2h,20,0,0.0,0.0,6.407499313354492e-07,1.0,4.298804297999595
lstm_prune_i2h,20,1,1.4901161193847656e-08,1.0,0.0,1.0,45.9997465360002
lstm_prune_i2h,20,2,2.9802322387695312e-08,1.0,0.0,1.0,45.80659634899985
lstm_prune_i2h,20,3,1.4901161193847656e-08,1.0,0.0,1.0,45.77783108599942
lstm_prune_i2h,20,4,0.0,1.0,0.0,1.0,45.38964989700071
lstm_prune_i2h,20,5,0.0,1.0,0.0,1.0,45.72002125000017
lstm_prune_i2h,20,6,0.0,1.0,0.0,1.0,45.70525341099983
lstm_prune_i2h,20,7,0.0,1.0,0.0,1.0,45.59690132800006
lstm_prune_i2h,20,8,0.0,1.0,0.0,1.0,45.742968641000516
lstm_prune_i2h,20,9,0.0,1.0,0.0,1.0,45.73489373200027
lstm_prune_i2h,20,10,0.0,1.0,0.0,1.0,45.71621709900046
lstm_prune_i2h,30,0,0.0,0.0,1.0579824447631836e-06,1.0,4.341534643000159
lstm_prune_i2h,30,1,0.0,1.0,0.0,1.0,45.630805044000226
lstm_prune_i2h,30,2,0.0,1.0,1.4901161193847656e-08,1.0,45.912809087000824
lstm_prune_i2h,30,3,0.0,1.0,0.0,1.0,47.28678392299935
lstm_prune_i2h,30,4,0.0,1.0,0.0,1.0,47.764941321999686
lstm_prune_i2h,30,5,2.9802322387695312e-08,1.0,0.0,1.0,47.34639109099953
lstm_prune_i2h,30,6,0.0,1.0,2.9802322387695312e-08,1.0,47.14368294999986
lstm_prune_i2h,30,7,0.0,1.0,0.0,1.0,47.04563137100013
lstm_prune_i2h,30,8,0.0,1.0,0.0,1.0,46.087254836000284
lstm_prune_i2h,30,9,0.0,1.0,0.0,1.0,45.6872478639998
lstm_prune_i2h,30,10,0.0,1.0,0.0,1.0,45.933719612999994
lstm_prune_i2h,40,0,0.0,0.0,1.0132789611816406e-06,1.0,4.202490318000855
lstm_prune_i2h,40,1,2.9802322387695312e-08,1.0,0.0,1.0,44.852919282000585
lstm_prune_i2h,40,2,0.0,1.0,0.0,1.0,44.72812199600048
lstm_prune_i2h,40,3,0.0,1.0,0.0,1.0,45.14565277300062
lstm_prune_i2h,40,4,0.0,1.0,0.0,1.0,44.533734534999894
lstm_prune_i2h,40,5,7.450580596923828e-08,1.0,0.0,1.0,44.795016522999504
lstm_prune_i2h,40,6,0.0,1.0,0.0,1.0,44.54779096399943
lstm_prune_i2h,40,7,0.0,1.0,0.0,1.0,44.62907015699966
lstm_prune_i2h,40,8,0.0,1.0,0.0,1.0,44.54762879699956
lstm_prune_i2h,40,9,0.0,1.0,0.0,1.0,44.63839053999982
lstm_prune_i2h,40,10,0.0,1.0,0.0,1.0,45.04427975100043
lstm_prune_i2h,50,0,0.0,0.0,3.427267074584961e-07,1.0,4.191139929000201
lstm_prune_i2h,50,1,2.9802322387695312e-08,1.0,0.0,1.0,44.70559629099989
lstm_prune_i2h,50,2,0.0,1.0,0.0,1.0,45.14598566799941
lstm_prune_i2h,50,3,4.470348358154297e-08,1.0,0.0,1.0,44.573719788000744
lstm_prune_i2h,50,4,0.0,1.0,0.0,1.0,44.54589173000022
lstm_prune_i2h,50,5,0.0,1.0,0.0,1.0,44.587260968999544
lstm_prune_i2h,50,6,0.0,1.0,0.0,1.0,44.734054444999856
lstm_prune_i2h,50,7,1.1920928955078125e-07,1.0,0.0,1.0,45.04574697799944
lstm_prune_i2h,50,8,0.0,1.0,0.0,1.0,44.76117561499996
lstm_prune_i2h,50,9,0.0,1.0,0.0,1.0,45.04434784200021
lstm_prune_i2h,50,10,0.0,1.0,0.0,1.0,44.711379029000454
lstm_prune_i2h,60,0,0.0,0.0,6.362795829772949e-06,1.0,4.268934050000098
lstm_prune_i2h,60,1,2.9802322387695312e-08,1.0,0.0,1.0,44.90573867800049
lstm_prune_i2h,60,2,0.0,1.0,0.0,1.0,44.90302266800063
lstm_prune_i2h,60,3,2.9802322387695312e-08,1.0,0.0,1.0,45.21322807300021
lstm_prune_i2h,60,4,4.470348358154297e-08,1.0,0.0,1.0,45.118414552000104
lstm_prune_i2h,60,5,0.0,1.0,0.0,1.0,44.839643507999426
lstm_prune_i2h,60,6,1.4901161193847656e-08,1.0,0.0,1.0,45.56092106899996
lstm_prune_i2h,60,7,0.0,1.0,0.0,1.0,44.91286988200045
lstm_prune_i2h,60,8,0.0,1.0,0.0,1.0,44.96345708199988
lstm_prune_i2h,60,9,0.0,1.0,0.0,1.0,44.715696487999594
lstm_prune_i2h,60,10,0.0,1.0,0.0,1.0,45.01557015900107
lstm_prune_i2h,70,0,0.0,0.0,22.315223072096707,0.99216,4.202496655001596
lstm_prune_i2h,70,1,0.541510870680213,0.9998933333333333,9.436905384063721e-05,1.0,44.54385642700072
