mode,prune,epoch,train_loss,train_acc,test_loss,test_acc,time
rnn_relu,0,1,151.40154353529215,0.8970133333333333,35.44409089908004,0.93712,31.919924991001608
rnn_relu,0,2,50.31507702817544,0.9740266666666667,0.1677417978644371,0.99968,32.077011305998894
rnn_relu,0,3,0.24282219285766615,0.9999466666666667,0.006549694389150318,1.0,31.222258730005706
rnn_relu,0,4,0.005528487265110016,1.0,0.003134399652481079,1.0,31.54701713599934
rnn_relu,0,5,0.003109455108642578,1.0,0.0026018843054771423,1.0,30.870946939998248
rnn_relu,0,6,0.000647328794002533,1.0,0.0010336339473724365,1.0,31.825491579998925
rnn_relu,0,7,0.0015437155961990356,1.0,0.0011750653393391985,1.0,31.218812300001446
rnn_relu,0,8,0.0007845386862754822,1.0,0.0007774680852890015,1.0,31.571985182999924
rnn_relu,0,9,0.0006631612777709961,1.0,0.0010760724544525146,1.0,31.12823032400047
rnn_relu,0,10,0.000149458646774292,1.0,0.0003448203206062317,1.0,31.03188157200202
rnn_relu,0,11,0.0013296827673912048,1.0,0.00022092461585998535,1.0,31.46048643800168
rnn_relu,0,12,0.0007771293167024851,1.0,3.662705421447754e-05,1.0,30.60293738600012
rnn_relu,0,13,9.624660015106201e-05,1.0,3.49879264831543e-05,1.0,31.57731697199779
rnn_relu,0,14,1.1861324310302734e-05,1.0,5.692243576049805e-06,1.0,30.557978891003586
rnn_relu,0,15,0.00012674927711486816,1.0,0.5376931875944138,0.99968,31.272498555998027
rnn_relu,0,16,268.97172435037794,0.97664,0.003537967801094055,1.0,30.399078377005935
rnn_relu,0,17,0.004337676366162668,1.0,0.00066345632149023,1.0,31.26198197699705
rnn_relu,0,18,0.0013581822315700265,1.0,0.0003038346767425537,1.0,30.200311619002605
rnn_relu,0,19,0.000614027182265886,1.0,0.00018729567528907864,1.0,31.568473591003567
rnn_relu,0,20,0.0003986348708622245,1.0,9.821951389454853e-05,1.0,30.305530137993628
rnn_relu,0,21,0.00027269919712580304,1.0,6.061196327777907e-05,1.0,31.281629062999855
rnn_relu,0,22,89.8299213629216,0.9938133333333333,13.987876456230879,0.9864,30.213776127995516
rnn_relu,0,23,28.0951985437423,0.9923733333333333,18.866773711983114,0.9744,31.144127061998006
rnn_relu,0,24,17.687632139772177,0.9958933333333333,0.0014955997467041016,1.0,30.147494974997244
rnn_relu,0,25,0.004226389527502761,1.0,8.355081081390381e-05,1.0,31.372313971995027
rnn_relu,0,26,0.001169102390608856,1.0,0.004534956067800522,1.0,30.18291175100603
rnn_relu,0,27,0.0008303225040435791,1.0,5.5283308029174805e-06,1.0,31.751407476003806
rnn_relu,0,28,0.001015596091747284,1.0,8.955597877502441e-06,1.0,30.15281340799993
rnn_relu,0,29,5.169212818145752e-05,1.0,5.960464477539063e-08,1.0,31.41730067300523
rnn_relu,0,30,4.8995018005371094e-05,1.0,1.341104507446289e-06,1.0,30.281123012995522
rnn_relu,0,31,1.4327466487884521e-05,1.0,1.4975666999816895e-05,1.0,31.16030095500173
rnn_relu,0,32,0.0003602132201194763,1.0,1.0639429092407227e-05,1.0,30.328151159999834
rnn_relu,0,33,3.6209821701049805e-05,1.0,0.0,1.0,31.344848679997085
rnn_relu,0,34,1.3053417205810547e-05,1.0,1.1324882507324219e-06,1.0,30.852620520003256
rnn_relu,0,35,1.5497207641601562e-06,1.0,2.6032328605651855e-05,1.0,31.10191140799725
rnn_relu,0,36,2.384185791015625e-07,1.0,2.980232238769531e-07,1.0,30.650167988002067
rnn_relu,0,37,2.980232238769531e-07,1.0,0.0,1.0,31.363347229998908
rnn_relu,0,38,5.8710575103759766e-06,1.0,4.0531158447265625e-06,1.0,31.11854201999813
rnn_relu,0,39,7.3015689849853516e-06,1.0,0.0,1.0,30.667692415998317
rnn_relu,0,40,2.682209014892578e-07,1.0,0.0,1.0,31.411820460001763
rnn_relu,0,41,2.3245811462402344e-06,1.0,0.0,1.0,30.74083461900591
rnn_relu,0,42,2.175569534301758e-06,1.0,0.0,1.0,30.99315967500297
rnn_relu,0,43,1.7285346984863281e-06,1.0,0.0,1.0,30.41112940599851
rnn_relu,0,44,2.9802322387695312e-08,1.0,0.0,1.0,30.931461536994902
rnn_relu,0,45,0.0,1.0,0.0,1.0,30.698638326000946
rnn_relu,0,46,2.980232238769531e-07,1.0,0.0,1.0,30.856564012996387
rnn_relu,0,47,0.0,1.0,0.0,1.0,30.30900035299419
rnn_relu,0,48,0.0,1.0,0.0,1.0,31.65818042799947
rnn_relu,0,49,0.0,1.0,0.0,1.0,30.118374546997075
rnn_relu,0,50,0.0,1.0,0.0,1.0,31.677399813001102
rnn_relu_prune,10,0,0.0,0.0,0.0,1.0,2.88175115899503
rnn_relu_prune,10,1,175.86787673830986,0.9998933333333333,5.120038986206055e-05,1.0,30.294042667999747
rnn_relu_prune,10,2,6.222724914550781e-05,1.0,8.925795555114746e-06,1.0,31.317318218003493
rnn_relu_prune,10,3,1.3383229575225641e-05,1.0,2.3543834686279297e-06,1.0,30.28931157199986
rnn_relu_prune,10,4,2.950429916381836e-06,1.0,2.980232238769531e-07,1.0,31.364249737001956
rnn_relu_prune,10,5,8.940696716308594e-08,1.0,0.0,1.0,30.69884883100167
rnn_relu_prune,10,6,0.0,1.0,0.0,1.0,31.330104957000003
rnn_relu_prune,10,7,0.0,1.0,0.0,1.0,30.087791206002294
rnn_relu_prune,10,8,0.0,1.0,0.0,1.0,31.457678832004603
rnn_relu_prune,10,9,0.0,1.0,0.0,1.0,29.90311396499601
rnn_relu_prune,10,10,0.0,1.0,0.0,1.0,31.616825411998434
rnn_relu_prune,20,0,0.0,0.0,0.0,1.0,2.8966295040008845
rnn_relu_prune,20,1,12.459762716790042,0.99936,0.0009835049510016347,1.0,30.638056627001788
rnn_relu_prune,20,2,0.0014342442154884338,1.0,3.2782554626464844e-07,1.0,30.996281305000593
rnn_relu_prune,20,3,5.790591239929199e-05,1.0,4.023313522338867e-07,1.0,30.495369001000654
rnn_relu_prune,20,4,8.225440979003906e-06,1.0,5.960464477539063e-08,1.0,31.080170274995908
rnn_relu_prune,20,5,0.0008973628282546997,1.0,0.0,1.0,30.892013937998854
rnn_relu_prune,20,6,0.0,1.0,0.0,1.0,30.91401983799733
rnn_relu_prune,20,7,2.3990869522094727e-06,1.0,1.4007091522216797e-06,1.0,31.00368252699991
